10I4842000 : [35.3, 32100, 0, 32100, ('shyc08', '600141'), 1]
10I4842001 : [22.96, 10600, 0, 10600, ('shyc08', '603115'), 1]
10I4842002 : [35.3, 32100, 0, 32100, ('shyc08', '600141'), 1]
10I4842003 : [22.96, 1600, 0, 0, ('shyc08', '603115'), 1]
10I4842004 : [35.3, 32100, 0, 32100, ('shyc08', '600141'), 1]
10I4842005 : [35.3, 32100, 0, 32100, ('shyc08', '600141'), 1]
10I4842006 : [22.96, 200, 200, 0, ('shyc08', '603115'), 1]
10I4842007 : [35.3, 32100, 0, 32100, ('shyc08', '600141'), 1]
10I4842008 : [105.11, 300, 200, 100, ('shyc08', '688800'), 1]
10I4842009 : [35.3, 32100, 0, 32100, ('shyc08', '600141'), 1]
10I4842010 : [35.3, 32100, 0, 32100, ('shyc08', '600141'), 1]
10I4842011 : [35.3, 32100, 0, 32100, ('shyc08', '600141'), 1]
10I4842012 : [22.96, 900, 900, 0, ('shyc08', '603115'), 1]
10I4842013 : [22.96, 400, 400, 0, ('shyc08', '603115'), 1]
10I4842014 : [22.96, 700, 700, 0, ('shyc08', '603115'), 1]
10I4842015 : [36.55, 20000, 0, 20000, ('szyc08', '000831'), 1]
10I4842016 : [22.96, 300, 200, 0, ('shyc08', '603115'), 1]
10I4842017 : [62.15, 57300, 0, 57300, ('szyc08', '300450'), 1]
10I4842018 : [62.15, 58100, 0, 58100, ('szyc08', '300450'), 1]
10I4842019 : [105.11, 286, 200, 86, ('shyc08', '688800'), 1]
10I4842020 : [22.96, 200, 200, 0, ('shyc08', '603115'), 1]
10I4842021 : [22.96, 800, 800, 0, ('shyc08', '603115'), 1]
10I4842022 : [62.15, 58100, 0, 58100, ('szyc08', '300450'), 1]
10I4842023 : [62.15, 59800, 0, 59800, ('szyc08', '300450'), 1]
10I4842024 : [31.77, 22700, 0, 22700, ('shyc08', '600338'), 1]
10I4842025 : [22.96, 400, 400, 0, ('shyc08', '603115'), 1]
10I4842026 : [62.15, 59800, 0, 59800, ('szyc08', '300450'), 1]
